"","id","sampleType","CPE_phtype","AmpC_phtype","ESBL_phtype","ESBL_AmpC_phtype","other_phtype","amp_tx","ceft_clavtx"
"244","244","broilers","0","0","0","0","0","1","1"
"245","245","broilers","0","0","0","0","0","1","1"
"246","246","broilers","0","0","0","0","0","1","1"
"247","247","broilers","0","0","0","0","0","1","1"
"248","248","broilers","0","0","0","0","0","1","1"
"249","249","broilers","0","0","0","0","0","1","1"
"250","250","broilers","0","0","0","0","0","1","1"
"251","251","broilers","0","0","0","0","0","1","1"
"252","252","broilers","0","0","0","0","0","1","1"
"253","253","broilers","0","0","0","0","0","1","1"
"254","254","broilers","0","0","0","0","0","1","1"
"255","255","broilers","0","0","0","0","0","1","1"
"256","256","broilers","0","0","0","0","0","1","1"
"257","257","broilers","0","0","0","0","0","1","1"
"258","258","broilers","0","0","0","0","0","1","1"
"259","259","broilers","0","0","0","0","0","1","1"
"260","260","broilers","0","0","0","0","0","1","1"
"261","261","broilers","0","0","0","0","0","1","1"
"262","262","broilers","0","0","0","0","0","1","1"
"263","263","broilers","0","0","0","0","0","1","1"
"264","264","broilers","0","0","0","0","0","1","1"
"265","265","broilers","0","0","0","0","0","1","1"
"266","266","broilers","0","0","0","0","0","1","1"
"267","267","broilers","0","0","0","0","0","1","1"
"268","268","broilers","0","0","0","0","0","1","1"
"269","269","broilers","0","0","0","0","0","1","1"
"270","270","broilers","0","0","0","0","0","1","1"
"271","271","broilers","0","0","0","0","0","1","1"
"272","272","broilers","0","0","0","0","0","1","1"
"273","273","broilers","0","0","0","0","0","1","1"
"274","274","broilers","0","0","0","0","0","1","1"
"275","275","broilers","0","0","0","0","0","1","1"
"276","276","broilers","0","0","0","0","0","1","1"
"277","277","broilers","0","0","0","0","0","1","1"
"278","278","broilers","0","0","0","0","0","1","1"
"279","279","broilers","0","0","0","0","0","1","1"
"280","280","broilers","0","0","0","0","0","1","1"
"281","281","broilers","0","0","0","0","0","1","1"
"282","282","broilers","0","0","0","0","0","1","1"
"283","283","broilers","0","0","0","0","0","1","1"
"284","284","broilers","0","0","0","0","0","1","1"
"285","285","broilers","0","0","0","0","0","1","1"
"286","286","broilers","0","0","0","0","0","1","1"
"287","287","broilers","0","0","0","0","0","1","1"
"288","288","broilers","0","0","0","0","0","1","1"
"289","289","broilers","0","0","0","0","0","1","1"
"290","290","broilers","0","0","0","0","0","1","1"
"291","291","broilers","0","0","0","0","0","1","1"
"292","292","broilers","0","0","0","0","0","1","1"
"293","293","broilers","0","0","0","0","0","1","1"
"294","294","broilers","0","0","0","0","0","1","1"
"295","295","broilers","0","0","0","0","0","1","1"
"296","296","broilers","0","0","0","0","0","1","1"
"297","297","broilers","0","0","0","0","0","1","1"
"298","298","broilers","0","0","0","0","0","1","1"
"299","299","broilers","0","0","0","0","0","1","1"
"300","300","broilers","0","0","0","0","0","1","1"
"301","301","broilers","0","0","0","0","0","1","1"
"302","302","broilers","0","0","0","0","0","1","1"
"303","303","broilers","0","0","0","0","0","1","1"
"304","304","broilers","0","0","0","0","0","1","1"
"305","305","broilers","0","0","0","0","0","1","1"
"306","306","broilers","0","0","0","0","0","1","1"
"307","307","broilers","0","0","0","0","0","1","1"
"308","308","broilers","0","0","0","0","0","1","1"
